day,start,job,part,hours,cpus,gpu,state,gpu_h,cpu_core_h,usd_unsub,usd_sub,fam
2026-09-08,2026-09-08T20:03:10,l1norm_ftcpu,genoa-std-mem,0.003,64,0,CANCELLED by 1089504811,0.0,0.192,0.005376000000000001,0.00192,l1norm_ftcpu
2026-09-08,2026-09-08T20:03:41,l1norm_ftcpu,genoa-std-mem,1.599,64,0,COMPLETED,0.0,102.336,2.865408,1.02336,l1norm_ftcpu
2026-09-08,2026-09-08T20:26:21,geom_bank3d,genoa-std-mem,0.039,64,0,COMPLETED,0.0,2.496,0.069888,0.02496,geom_bank3d
2026-09-08,2026-09-08T20:30:43,geom_bank2d,genoa-std-mem,0.086,64,0,COMPLETED,0.0,5.504,0.154112,0.05504,geom_bank2d
2026-09-08,2026-09-08T21:04:31,l1norm_ft,dgx-b200,0.393,28,1,COMPLETED,0.393,0.0,1.77243,0.393,l1norm_ft
2026-09-08,2026-09-08T21:52:06,clean_shift,genoa-std-mem,0.048,64,0,COMPLETED,0.0,3.072,0.08601600000000001,0.03072,clean_shift
2026-09-08,2026-09-08T22:31:36,hida_bank,genoa-std-mem,1.785,64,0,COMPLETED,0.0,114.24,3.19872,1.1424,hida_bank
2026-09-08,2026-09-08T23:19:57,shift_sweep,genoa-std-mem,0.002,64,0,COMPLETED,0.0,0.128,0.003584,0.00128,shift_sweep
2026-09-08,2026-09-08T23:21:29,shift_sweep,genoa-std-mem,0.007,64,0,COMPLETED,0.0,0.448,0.012544000000000001,0.0044800000000000005,shift_sweep
2026-09-08,2026-09-08T23:22:31,shift_sweep,genoa-std-mem,0.01,64,0,COMPLETED,0.0,0.64,0.017920000000000002,0.0064,shift_sweep
2026-09-08,2026-09-08T23:24:34,shift_sweep,genoa-std-mem,0.01,64,0,COMPLETED,0.0,0.64,0.017920000000000002,0.0064,shift_sweep
2026-09-09,2026-09-09T00:02:34,cosshift,genoa-std-mem,0.064,64,0,CANCELLED by 1089504811,0.0,4.096,0.114688,0.04096,cosshift
2026-09-09,2026-09-09T09:17:45,geom_variants,genoa-std-mem,0.006,64,0,COMPLETED,0.0,0.384,0.010752000000000001,0.00384,geom_variants
2026-09-09,2026-09-09T12:19:24,geom_variants,genoa-std-mem,0.011,64,0,COMPLETED,0.0,0.704,0.019712,0.007039999999999999,geom_variants
2026-09-09,2026-09-09T12:22:01,res_trend,genoa-std-mem,0.022,32,0,COMPLETED,0.0,0.704,0.019712,0.007039999999999999,res_trend
2026-09-09,2026-09-09T12:28:07,pose_feats,genoa-std-mem,0.024,64,0,COMPLETED,0.0,1.536,0.043008000000000005,0.01536,pose_feats
2026-09-09,2026-09-09T12:58:49,img_ref,genoa-std-mem,0.047,64,0,COMPLETED,0.0,3.008,0.08422400000000001,0.03008,img_ref
2026-09-09,2026-09-09T19:55:17,hillclimb,genoa-std-mem,0.049,64,0,COMPLETED,0.0,3.136,0.08780800000000001,0.03136,hillclimb
2026-09-19,2026-09-19T03:00:26,viewdepth,genoa-std-mem,0.05,64,0,COMPLETED,0.0,3.2,0.08960000000000001,0.032,viewdepth
2026-09-19,2026-09-19T03:04:29,viewdepth4,genoa-std-mem,0.007,16,0,COMPLETED,0.0,0.112,0.0031360000000000003,0.0011200000000000001,viewdepth4
2026-09-19,2026-09-19T03:05:49,viewdepth4v,genoa-std-mem,0.035,16,0,COMPLETED,0.0,0.56,0.015680000000000003,0.005600000000000001,viewdepth4v
